UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
4,8,23729,23729,T,6,"2016-03-29 18:42:06",53
4,98,4949,4949,T,2,"2016-03-29 18:42:12",54
1,37,19437,19437,F,126,"2016-03-29 18:42:19",79
2,8,17293,17293,T,6,"2016-03-29 18:42:22",62
3,66,45389,45389,F,"4 8","2016-03-29 18:42:23",32
4,117,13165,13165,F,"no clue","2016-03-29 18:42:25",55
1,25,7000,7000,T,5,"2016-03-29 18:42:26",80
1,106,3467,3467,T,23,"2016-03-29 18:42:30",81
2,67,10205,10205,F,m1,"2016-03-29 18:42:32",63
6,41,27407,27407,T,21,"2016-03-29 18:42:33",37
1,121,11159,11159,T,4,"2016-03-29 18:42:42",82
2,28,14339,14339,T,6,"2016-03-29 18:42:47",64
2,100,2813,2813,T,1,"2016-03-29 18:42:50",65
3,103,31170,31170,F,1,"2016-03-29 18:42:55",33
1,23,26227,26227,T,"1 4","2016-03-29 18:43:08",83
4,90,44214,44214,F,5,"2016-03-29 18:43:10",56
2,20,20063,20063,T,"6 -1","2016-03-29 18:43:10",66
6,24,38576,38576,F,"5 4","2016-03-29 18:43:11",38
3,42,19952,19952,T,21,"2016-03-29 18:43:15",34
2,116,8383,8383,T,2,"2016-03-29 18:43:19",67
4,122,17475,17475,F,2,"2016-03-29 18:43:27",57
2,56,13956,13956,T,true,"2016-03-29 18:43:33",68
3,21,17877,17877,F,"true 2","2016-03-29 18:43:33",35
6,72,22641,22641,T,"2 1","2016-03-29 18:43:34",39
4,105,11053,11053,F,13,"2016-03-29 18:43:39",58
6,82,12139,12139,T,"2 7","2016-03-29 18:43:47",40
3,70,18929,18929,T,"4 5","2016-03-29 18:43:53",36
4,41,21788,21788,T,21,"2016-03-29 18:44:01",59
3,99,17751,17751,T,1,"2016-03-29 18:44:11",37
6,4,26658,26658,T,true,"2016-03-29 18:44:14",41
6,99,7667,7667,T,1,"2016-03-29 18:44:22",42
3,10,12846,12846,F,false,"2016-03-29 18:44:24",38
4,67,25830,25830,F,abcdef,"2016-03-29 18:44:27",60
2,52,54763,54763,T,2,"2016-03-29 18:44:28",69
6,28,8036,8036,T,6,"2016-03-29 18:44:31",43
2,104,4694,4694,T,g,"2016-03-29 18:44:34",70
4,93,6886,6886,F,3,"2016-03-29 18:44:34",61
6,103,7340,7340,F,104,"2016-03-29 18:44:39",44
6,75,11449,11449,F,true,"2016-03-29 18:44:51",45
4,23,20230,20230,F,"2 4","2016-03-29 18:44:55",62
6,12,9538,9538,T,true,"2016-03-29 18:45:01",46
2,64,29177,29177,T,"7 7","2016-03-29 18:45:03",71
3,59,43324,43324,T,true,"2016-03-29 18:45:08",39
4,53,12971,12971,F,false,"2016-03-29 18:45:08",63
3,28,7516,7516,T,6,"2016-03-29 18:45:16",40
4,30,10178,10178,T,9,"2016-03-29 18:45:19",64
4,83,12383,12383,F,1,"2016-03-29 18:45:31",65
3,91,19627,19627,F,2,"2016-03-29 18:45:36",41
2,1,36674,36674,T,false,"2016-03-29 18:45:40",72
4,17,10764,10764,F,true,"2016-03-29 18:45:43",66
6,87,51207,51207,F,8,"2016-03-29 18:45:52",47
2,44,11941,11941,F,b,"2016-03-29 18:45:52",73
3,77,26163,26163,F,"1 8","2016-03-29 18:46:02",42
6,91,14817,14817,F,qwert,"2016-03-29 18:46:07",48
4,36,24732,24732,T,"5 5","2016-03-29 18:46:08",67
2,31,19137,19137,T,7,"2016-03-29 18:46:12",74
3,54,17853,17853,T,1,"2016-03-29 18:46:20",43
6,122,12873,12873,F,2,"2016-03-29 18:46:21",49
4,11,15260,15260,T,true,"2016-03-29 18:46:23",68
2,74,12231,12231,T,true,"2016-03-29 18:46:24",75
4,5,4945,4945,F,false,"2016-03-29 18:46:28",69
6,36,15483,15483,F,"5 2","2016-03-29 18:46:36",50
2,92,13413,13413,F,v,"2016-03-29 18:46:38",76
4,85,11531,11531,F,"no clue","2016-03-29 18:46:40",70
3,16,22872,22872,T,"true 1","2016-03-29 18:46:43",44
